0001.HK,長和
0002.HK,中電控股
0003.HK,香港中華煤氣
0004.HK,九龍倉集團
0005.HK,匯豐控股
0006.HK,電能實業
0011.HK,恆生銀行
0012.HK,恆基地產
0016.HK,新鴻基地產
0017.HK,新世界發展
0019.HK,太古股份公司Α
0023.HK,東亞銀行
0027.HK,銀河娛樂
0066.HK,港鐵公司
0083.HK,信和置業
0101.HK,恆隆地產
0135.HK,昆侖能源
0144.HK,招商局國際
0151.HK,中國旺旺
0267.HK,中信股份
0293.HK,國泰航空
0322.HK,康師傅控股
0386.HK,中國石油化工股份
0388.HK,香港交易所
0494.HK,利豐
0688.HK,中國海外發展
0700.HK,騰訊控股
0762.HK,中國聯通
0823.HK,領展房產基金
0836.HK,華潤電力
0857.HK,中國石油股份
0883.HK,中國海洋石油
0939.HK,建設銀行
0941.HK,中國移動
0992.HK,聯想集團
1038.HK,長江基建集團
1044.HK,恆安國際
1088.HK,中國神華
1109.HK,華潤置地
1113.HK,長實地產
1299.HK,友邦保險
1398.HK,工商銀行
1880.HK,百麗國際
1928.HK,金沙中國有限公司
2318.HK,中國平安
2319.HK,蒙牛乳業
2388.HK,中銀香港
2628.HK,中國人壽
3328.HK,交通銀行
3988.HK,中國銀行
